         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
101, 2.25851, 8.77899, -52.1953, 0.0137018, 0.0138548, -0.102033, -0.101509, -0.101625, -0.2424, 0.1484, 2.26136, 8.78864, -55.5413, 0.00524672, 0.0152816, -0.147544, -0.147803, -0.147295
102, 2.26136, 8.78864, -55.5413, 0.00524672, 0.0152816, -0.147544, -0.147803, -0.147295, -0.0493, -0.3664, 2.26698, 8.78976, -59.078, 0.020108, -0.0154857, -0.0807978, -0.0808734, -0.0810051
103, 2.26698, 8.78976, -59.078, 0.020108, -0.0154857, -0.0807978, -0.0808734, -0.0810051, 0.3161, -0.3849, 2.27877, 8.7776, -59.2644, 0.0238409, -0.0274266, 0.0741496, 0.0742738, 0.0739078
104, 2.27877, 8.7776, -59.2644, 0.0238409, -0.0274266, 0.0741496, 0.0742738, 0.0739078, -0.391, 0.1557, 2.29308, 8.75906, -57.8419, 0.0341384, -0.0473852, -0.00887793, -0.00896955, -0.00886396
105, 2.29308, 8.75906, -57.8419, 0.0341384, -0.0473852, -0.00887793, -0.00896955, -0.00886396, 0.0283, -0.4352, 2.31424, 8.72829, -57.5809, 0.0532115, -0.0798901, 0.0545855, 0.0545966, 0.0546631
106, 2.31424, 8.72829, -57.5809, 0.0532115, -0.0798901, 0.0545855, 0.0545966, 0.0546631, 0.4393, 0.352, 2.3349, 8.69723, -55.4777, 0.0203595, -0.0308761, 0.080473, 0.0804472, 0.0804594
107, 2.3349, 8.69723, -55.4777, 0.0203595, -0.0308761, 0.080473, 0.0804472, 0.0804594, 0.1295, 0.4214, 2.33695, 8.69347, -53.9463, -0.0124608, 0.0157859, 0.0172519, 0.0172207, 0.0171721
108, 2.33695, 8.69347, -53.9463, -0.0124608, 0.0157859, 0.0172519, 0.0172207, 0.0171721, 0.489, 0.0936, 2.32211, 8.71319, -52.8975, -0.045397, 0.0607132, 0.0743128, 0.0742867, 0.0743042
109, 2.32211, 8.71319, -52.8975, -0.045397, 0.0607132, 0.0743128, 0.0742867, 0.0743042, -0.0774, 0.368, 2.2928, 8.75194, -51.562, -0.068429, 0.0894669, -0.00321631, -0.00319174, -0.00309261
110, 2.2928, 8.75194, -51.562, -0.068429, 0.0894669, -0.00321631, -0.00319174, -0.00309261, 0.2138, 0.0228, 2.25479, 8.80122, -51.671, -0.084925, 0.109488, 0.013677, 0.0137954, 0.0137396
111, 2.25479, 8.80122, -51.671, -0.084925, 0.109488, 0.013677, 0.0137954, 0.0137396, 0.2726, 0.4873, 2.20363, 8.86671, -51.6076, -0.124922, 0.159032, -0.0199981, -0.0199459, -0.0199262
112, 2.20363, 8.86671, -51.6076, -0.124922, 0.159032, -0.0199981, -0.0199459, -0.0199262, -0.0677, 0.1099, 2.13674, 8.95188, -52.7566, -0.134623, 0.171827, -0.0579434, -0.0580034, -0.0580472
113, 2.13674, 8.95188, -52.7566, -0.134623, 0.171827, -0.0579434, -0.0580034, -0.0580472, 0.1732, 0.4888, 2.06218, 9.04838, -55.1761, -0.166827, 0.220052, -0.113201, -0.113767, -0.114211
114, 2.06218, 9.04838, -55.1761, -0.166827, 0.220052, -0.113201, -0.113767, -0.114211, -0.2769, -0.0701, 1.9808, 9.15765, -58.9341, -0.153157, 0.209535, -0.144942, -0.145113, -0.145742
115, 1.9808, 9.15765, -58.9341, -0.153157, 0.209535, -0.144942, -0.145113, -0.145742, -0.1551, 0.0568, 1.90848, 9.25971, -63.4208, -0.136779, 0.200463, -0.167652, -0.168111, -0.168999
116, 1.90848, 9.25971, -63.4208, -0.136779, 0.200463, -0.167652, -0.168111, -0.168999, -0.3443, -0.2437, 1.84706, 9.35217, -68.253, -0.105594, 0.161377, -0.166396, -0.166188, -0.16688
117, 1.84706, 9.35217, -68.253, -0.105594, 0.161377, -0.166396, -0.166188, -0.16688, -0.2061, -0.4436, 1.80278, 9.41955, -72.1652, -0.0723864, 0.108018, -0.0989731, -0.098833, -0.0985132
